,Name,Full Path,Complexity,Amount of changes,Complexity Trend
app/models/list_account.rb,list_account.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/list_account.rb,26.0,0,
app/models/account_warning_preset.rb,account_warning_preset.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_warning_preset.rb,18.0,0,
app/models/status_pin.rb,status_pin.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/status_pin.rb,26.0,0,
app/models/account_statuses_cleanup_policy.rb,account_statuses_cleanup_policy.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_statuses_cleanup_policy.rb,172.0,2,
app/models/appeal.rb,appeal.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/appeal.rb,60.0,2,
app/models/tag_feed.rb,tag_feed.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/tag_feed.rb,56.0,0,
app/models/search.rb,search.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/search.rb,5.0,0,
app/models/invite_filter.rb,invite_filter.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/invite_filter.rb,37.0,0,
app/models/status_stat.rb,status_stat.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/status_stat.rb,37.0,1,
app/models/home_feed.rb,home_feed.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/home_feed.rb,12.0,0,
app/models/follow_recommendation.rb,follow_recommendation.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/follow_recommendation.rb,26.0,0,
app/models/bookmark.rb,bookmark.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/bookmark.rb,34.0,1,
app/models/custom_emoji.rb,custom_emoji.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/custom_emoji.rb,95.0,0,
